Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
1033297,/m/0401sg,Resident Evil,2002-03-12,102441078.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/02kdv5l"": ""Action""}",Germany,Europe
34858219,/m/0j42hrc,A Midsummer Night's Party,2009-07-31,,97.0,"{""/m/06mp7"": ""Swedish Language""}","{""/m/05p553"": ""Comedy film""}",Sweden,Europe
15457461,/m/03m9z58,My Baby is Black,1961-03-01,,75.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama""}",France,Europe
19168185,/m/04ldc1b,9 Dead Gay Guys,2003-09-19,26377.0,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0hn10"": ""LGBT"", ""/m/0d63kt"": ""Gay"", ""/m/0bc42t_"": ""Gay Interest"", ""/m/01z4y"": ""Comedy"", ""/m/04tkhfk"": ""Gay Themed"", ""/m/0vgkd"": ""Black comedy""}",United Kingdom,Europe
20648586,/m/051yy2f,Stanley Kubrick's Boxes,2008-07-15,,48.0,{},"{""/m/0jtdp"": ""Documentary"", ""/m/017fp"": ""Biography"", ""/m/0hj3n3b"": ""Film & Television History"", ""/m/0hj3n3h"": ""Film""}",United Kingdom,Europe
7447592,/m/0kv7sv,Mayerling,1936-02-16,,96.0,"{""/m/064_8sq"": ""French Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",France,Europe
14558212,/m/03d7wmt,The Spanish Jade,1922-04-10,,67.0,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}","{""/m/06ppq"": ""Silent film"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}",United Kingdom,Europe
9560806,/m/02pk0wv,Sharpe's Siege,1996-05-08,,100.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/04xvlr"": ""Period piece"", ""/m/0hj3m_6"": ""Costume Adventure"", ""/m/02p0szs"": ""Historical fiction"", ""/m/03k9fj"": ""Adventure""}",United Kingdom,Europe
1249014,/m/04m0gv,Knife in the Water,1962-03-09,,94.0,"{""/m/05qqm"": ""Polish Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hj3nbk"": ""Marriage Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",Poland,Europe
9879162,/m/02pvqww,Gritos en la noche,1962-05-14,,86.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",France,Europe
